词汇,出现次数,词汇,出现次数
砥砺,2,两手硬,2
指引,2,不懈,1
复兴,1,伟大,1
富强,1,宏伟目标,1
一百年,1,努力完成,1
开拓进取,1,铸就,1
重在,1,使命,1
命运,1,人类,1
致力,1,热点问题,1
周边环境,1,互信,1
睦邻,1,互惠,1
朝着,1,权威性,1
多边,1,维护者,1
贡献者,1,建设者,1
正义,1,公道,1
政治经济,1,和平统一,1
民族大义,1,要共担,1
大陆,1,台湾,1
名义,1,任何人,1
绝不允许,1,台独,1
台海,1,两岸关系,1
领土完整,1,九二,1
大政方针,1,充满信心,1
大湾,1,粤港澳,1
内地,1,港独,1
施政,1,行政长官,1
变形,1,走样,1
动摇,1,基本法,1
依照,1,澳人治澳,1
港人治港,1,准确,1
叶茂,1,枝繁,1
深,1,树根,1
军民团结,1,军政,1
兼容,1,后备力量,1
国防教育,1,后勤,1
护航,1,远海,1
维和,1,反恐,1
周密,1,边防,1
海空,1,负责制,1
军委主席,1,绝对,1
备战,1,练兵,1
治军,1,建军,1
以党,1,正规化,1
革命化,1,重大突破,1
向心力,1,凝聚力,1
中华儿女,1,海内外,1
侨眷,1,归侨,1
信教,1,人士,1
宗教界,1,基本方针,1
安康,1,大家庭,1
和衷共济,1,和睦相处,1
少数民族,1,富民,1
兴边,1,庆祝,1
70,1,内蒙古自治区,1
民族区域,1,未来,1
赢得,1,同心协力,1
碰硬,1,动真,1
撑腰,1,鼓劲,1
严厉,1,铆紧,1
光说不练,1,纸上谈兵,1
简单,1,创造性地,1
埋头苦干,1,真抓实干,1
当头,1,干字,1
靠,1,巨大成就,1
勤勉,1,做事,1
干干净净,1,廉守,1
要持,1,群众利益,1
高压,1,惩治腐败,1
一以贯之,1,本色,1
意愿,1,人民政协,1
同级,1,批评,1
敬畏,1,尊崇,1
严格遵守,1,履职,1
高度一致,1,上同,1
在思想上,1,权威,1
生命财产,1,至上,1
人命关天,1,安全感,1
多发性,1,个人信息,1
侵犯,1,抢劫,1
盗窃,1,毒品,1
黑恶势力,1,恐怖活动,1
立体化,1,就地解决,1
老人,1,志愿,1
团组织,1,群,1
充满生机,1,向上,1
乐观,1,身心健康,1
体魄,1,快乐,1
运动,1,体育产业,1
群众体育,1,筹办,1
冬,1,冬奥会,1
中华文化,1,均等化,1
科学普及,1,文化遗产,1
物质,1,艺术创作,1
文学,1,自信,1
凝聚,1,精神文明,1
回报,1,得不到,1
付出,1,辛勤,1
拖欠,1,锲而不舍,1
奔头,1,温暖,1
心里,1,困难群众,1
县级,1,两项,1
孤寡老人,1,军烈属,1
民房,1,中倒损,1
洪涝灾害,1,自然灾害,1
扎牢,1,织密,1
饮食,1,治乱,1
重典,1,并重,1
产管,1,严而,1
管得,1,事关,1
医疗保健,1,医患,1
医务人员,1,调动,1
事件,1,慢性病,1
疾病,1,方便群众,1
联合体,1,保险制度,1
450,1,每人每年,1
梦想,1,孩子,1
人民满意,1,教师队伍,1
老年,1,高考,1
应用型,1,本科,1
学科建设,1,助学金,1
研究生,1,博士,1
办学,1,校际,1
教育资源,1,人生价值,1
创造财富,1,牢牢,1
一人,1,新高,1
795,1,形态,1
兜牢,1,竭力,1
办能,1,该,1
更要,1,形势严峻,1
肩上,1,扛,1
心头,1,时刻,1
之要,1,为政,1
石漠化,1,荒漠化,1
1200,1,第二批,1
气候变化,1,严守,1
双赢,1,普遍推行,1
详查,1,面源,1
海域,1,必定会,1
不懈努力,1,成在,1
贵在,1,人人有责,1
恶化,1,追究,1
纵容,1,姑息,1
五要,1,科学性,1
机理,1,解析,1
源,1,对重,1
四要,1,国六,1
黄标车,1,尾气,1
关停,1,到期,1
时限,1,秸秆,1
核电,1,弃光,1
弃风,1,弃水,1
上网,1,今明两年,1
东中部,1,电厂,1
锅炉,1,建成区,1
地级,1,以气代,1
取暖,1,北方地区,1
保卫战,1,答卷,1
合格,1,交出,1
内在,1,迫切愿望,1
捍卫,1,一直,1
承诺,1,贸易协定,1
商谈,1,亚太,1
伙伴关系,1,早日,1
议定书,1,东盟,1
主渠道,1,自由化,1
吸引力,1,最富,1
开越,1,会越,1
大门,1,成熟,1
全面推广,1,法定,1
一视同仁,1,对内,1
发债,1,采矿业,1
零部件,1,尽保,1
应保,1,成套设备,1
扩大出口,1,乐章,1
同奏,1,高峰论坛,1
高质量,1,优势互补,1
大通关,1,支点,1
海上,1,陆上,1
共商,1,田园风光,1
具,1,现代文明,1
保证率,1,饮水,1
光纤,1,行政村,1
通电,1,机井,1
可靠,1,公共设施,1
施展才华,1,培养,1
农村基层,1,供销社,1
农垦,1,收储,1
财产权利,1,助力,1
再保险,1,理赔,1
救灾,1,大灾,1
县市,1,选择,1
主产省,1,离不开,1
占补,1,中低产田,1
保护区,1,观光农业,1
主产区,1,改饲,1
粮,1,种植,1
水稻,1,市场需求,1
共进,1,互促,1
粮食安全,1,享誉,1
众多,1,精益求精,1
崇尚,1,操守,1
恪尽,1,厚植,1
匠心,1,存于,1
之魂,1,竞争机制,1
优胜劣汰,1,迸发,1
顶天立地,1,铺天盖地,1
其长,1,各展,1
现实,1,纵向,1
蓬勃生机,1,焕发,1
迈进,1,变革,1
营销,1,以新,1
受惠,1,费,1
长途电话,1,资费,1
专线接入,1,漫游费,1
国内长途,1,手机,1
年内,1,降费要,1
信息网络,1,安全性,1
速度,1,本着,1
利用效率,1,第五代,1
生物制药,1,集成电路,1
人工智能,1,大业,1
定,1,英才,1
天下,1,广聚,1
劳神,1,分心,1
琐事,1,杂事,1
不再,1,期权,1
原创性,1,提高质量,1
优化结构,1,当务之急,1
根基,1,从来,1
里子,1,面子,1
区段,1,易涝,1
地上,1,工程质量,1
规划设计,1,特大,1
具备条件,1,小城镇,1
中小城市,1,空域,1
退化,1,枯竭,1
板块,1,旧账,1
不理,1,官,1
约定,1,随意,1
讲,1,5076,1
预算内,1,通用,1
继续加强,1,水运,1
投向,1,烦心,1
花钱,1,广告,1
虚假,1,高品质,1
网购,1,实体店,1
在线教育,1,数字家庭,1
带薪休假,1,医养,1
跨界,1,持久,1
相适应,1,释放出来,1
发展潜力,1,薪酬,1
人事,1,划转,1
分配制度,1,有错必纠,1
对于,1,安心,1
创富,1,发明创造,1
禁入,1,守护,1
增值,1,保值,1
竞争性,1,民航,1
公司制,1,公司法人,1
制衡,1,底气,1
动用,1,拨备,1
充足率,1,防火墙,1
筑牢,1,点,1
金融监管,1,警惕,1
累积,1,影子,1
违约,1,可控,1
租赁业,1,经济渠道,1
保险资金,1,三板,1
主板,1,信用社,1
开发性,1,政策性,1
差别化,1,事业部,1
大中型,1,虚,1
脱实,1,重心,1
下沉,1,主业,1
金融体制,1,用出,1
明处,1,花,1
钱,1,一笔,1
沉淀,1,倒逼,1
预决算,1,举债,1
地方税,1,简洁,1
三档,1,简并,1
四档,1,简化,1
门,1,开,1
之策,1,施,1
苛之弊,1,除烦,1
感受,1,信息系统,1
选择权,1,裁量权,1
向前,1,披荆斩棘,1
壮士断腕,1,一场,1
决定性,1,中起,1
关键性,1,认可,1
自我,1,整体,1
因病,1,劳务输出,1
边疆,1,特困,1
连片,1,340,1
加力,1,轻装上阵,1
大义,1,顾,1
小利,1,舍,1
交易成本,1,制度性,1
适当,1,服务性,1
市场调节,1,货运,1
定价,1,尽可能,1
一半,1,35,1
停征,1,附加,1
公用事业,1,非税,1
不堪重负,1,许多,1
名目繁多,1,75%,1
扣除,1,加计,1
费用,1,科技型,1
上限,1,所得额,1
纳税,1,年应,1
优惠,1,所得税,1
减半,1,多措,1
降到,1,负债,1
企业财务,1,储蓄率,1
非金融,1,居中,1
告别,1,租房,1
简陋,1,几千万,1
过快,1,基本保障,1
购租,1,自住,1
拨付,1,新上,1
清算,1,破产,1
腾,1,万千瓦,1
缓建,1,停建,1
着重,1,正确处理,1
统筹兼顾,1,通观全局,1
福祉,1,硬道理,1
解难,1,咬定青山不放松,1
难以解决,1,一时,1
好事,1,迫切,1
期待,1,强烈,1
群众反映,1,基本国情,1
初级阶段,1,践行,1
高速,1,生产率,1
人才资源,1,人力,1
潜能,1,着,1
蕴藏,1,人才队伍,1
专业技能,1,不靠,1
相得益彰,1,相辅相成,1
后劲,1,发力点,1
找准,1,可能,1
必要,1,闯过,1
勇往直前,1,紧迫,1
非常,1,阵痛,1
伴随,1,成蝶,1
蛹,1,低效,1
无效,1,简政,1
硬骨头,1,啃,1
推进改革,1,勇于进取,1
下要,1,稳是,1
以下几点,1,疏通,1
利率,1,流动性,1
12%,1,余额,1
中性,1,正道,1
节用裕民,1,坚守,1
挤出,1,压缩,1
均衡性,1,加大力度,1
压,1,保有,1
财政预算,1,切身感受,1
3500,1,发行,1
8300,1,1.55,1
2.38,1,率拟,1
配合,1,预见性,1
相衔接,1,调整结构,1
客观,1,污染物,1
国际收支,1,1100,1
6.5%,1,奋力拼搏,1
万众一心,1,无穷,1
依靠人民,1,路线,1
党的基本,1,有党,1
坚信,1,比较完善,1
庞大,1,充裕,1
雄厚,1,物质基础,1
不可动摇,1,低估,1
不容,1,过坎,1
爬坡,1,处在,1
明显增加,1,变数,1
外溢,1,走向,1
经济体,1,抬头,1
倾向,1,思潮,1
逆,1,延续,1
低迷,1,充分准备,1
要实,1,要活,1
要准,1,产业政策,1
宏观政策,1,发展观,1
三个代表,1,邓小平理论,1
伟大旗帜,1,高举,1
重大意义,1,全国代表大会,1
第十九次,1,重托,1
不负,1,历史使命,1
不辱,1,全力以赴,1
直面,1,时有发生,1
懒政怠政,1,少数,1
有些,1,痛心,1
令人,1,满意,1
频发,1,不容忽视,1
分化,1,走势,1
看到,1,香港特别行政区,1
团结奋斗,1,全党全军,1
彰显,1,坚强意志,1
继续前进,1,初心,1
不忘,1,宣示,1
长征,1,中国工农红军,1
纪念,1,隆重,1
隆重庆祝,1,主权,1
领土,1,丰硕,1
巴黎,1,密切,1
联合国,1,周边国家,1
首次,1,湄公河,1
澜沧江,1,东亚,1
首脑会议,1,亚欧,1
高级别,1,联大,1
核,1,会晤,1
金砖,1,非正式,1
亚太经合组织,1,出席,1
国,1,出访,1
主席,1,卓有成效,1
压倒性,1,腐败分子,1
惩处,1,事故,1
第三次,1,公布,1
民意,1,议案,1
全国人大常委会,1,八是,1
损失,1,限度,1
900,1,紧急,1
抢险救灾,1,长江流域,1
佳绩,1,体育健儿,1
符合规定,1,8400,1
资助,1,学杂费,1
21.3%,1,招收,1
财政性,1,护理,1
重度,1,多万,1
1700,1,资金投入,1
七是,1,1.7,1
5.6%,1,1600,1
东部,1,明显增强,1
56.2%,1,交易额,1
万件,1,拥有量,1
发明专利,1,2.08%,1
北京,1,首位,1
位居,1,多亿美元,1
变更,1,除少数,1
深港,1,篮子,1
提款权,1,国际货币基金组织,1
增添,1,休耕,1
轮作,1,审评,1
医疗器械,1,放开,1
资源税,1,职业资格,1
220,1,192,1
165,1,三分之一,1
本届,1,提前完成,1
经济体制,1,支柱性,1
长远,1,又利,1
急需,1,下调,1
2.9,1,煤炭行业,1
有所改善,1,13%,1
11.3%,1,利息,1
过渡,1,减不增,1
多亿元,1,5700,1
而是,1,强刺激,1
式,1,漫灌,1
大水,1,搞,1
抉择,1,多难,1
发展前景,1,韧性,1
表明,1,再次,1
难得,1,更为,1
诸多,1,容易,1
这种,1,增多,1
期,1,外部环境,1
多发,1,突发,1
波动,1,金融市场,1
年来,1,寻常,1
走过,1,回顾过去,1
印记,1,留下,1
开创性,1,杭州,1
主办,1,亿人次,1
1.2,1,出境,1
快速增长,1,多万户,1
380,1,240,1
1240,1,6.3%,1
多万公里,1,550,1
光缆,1,亿,1
3.4,1,第四代,1
29,1,多公里,1
6700,1,高速铁路,1
新天地,1,撑起,1
4.5,1,加上,1
平均,1,24.5%,1
兴起,1,蓬勃,1
重大成果,1,科技领域,1
丰收,1,获,1
调优,1,51.6%,1
加快调整,1,初见成效,1
突破性,1,不易,1
亿多,1,4.02%,1
年末,1,再创新高,1
1314,1,超出,1
明显提高,1,转为,1
2.3%,1,上年,1
前茅,1,名列,1
6.7%,1,74.4,1
趋稳,1,缓中,1
纵深,1,看齐,1
大局意识,1,意义,1
深远,1,长治久安,1
兴旺发达,1,党和人民,1
迎难而上,1,交汇,1
诸多矛盾,1,全国政协,1
摄,1,庞兴雷,1
记者,1,新华社,1
中央人民政府,1,﻿,1
代码,1,加载,1
质监,1,社会保险,1
证,1,代码证,1
26,1,食品安全,1
省有库,1,卷,1
市有,1,档,1
簿,1,乡,1
村有册,1,户有,1
采集,1,23,1
22,1,风气,1
习惯,1,养成,1
好日子,1,房子,1
不愁穿,1,不愁吃,1
土壤,1,19,1
饮用水,1,建设工程,1
18,1,经贸合作,1
精选,1,跟踪,1
优选,1,锁定,1
强镇,1,集体所有,1
攻关项目,1,关键技术,1
水准,1,同样,1
相同,1,同一,1
内销,1,外向型,1
队伍,1,寺庙,1
法制宣传,1,农村居民,1
/,1,城镇居民,1
计算公式,1,衡量,1
农村金融,1,蓝图,1
一本,1,土地利用,1
执法检查,1,选派,1
抽取,1,3.9,1
指去,1,具体,1
国外,1,拓开,1
国门,1,万企出,1
购物,1,说明,1
名词解释,1,进取,1
拼搏,1,紧紧,1
紧密团结,1,光荣,1
任务艰巨,1,起点,1
站上,1,良好环境,1
成事,1,敢,1
想,1,正向,1
依规,1,清,1
亲,1,三实,1
三严,1,腐败,1
违法违纪,1,严厉查处,1
扎紧,1,环节,1
各项规定,1,治政,1
廉政建设,1,不断加强,1
统计数据,1,技术壁垒,1
重复,1,落到实处,1
各项政策,1,执行力,1
绩效评价,1,问责制,1
落实工作,1,工作效率,1
便捷,1,手续,1
证明,1,合法,1
回应,1,解读,1
表率,1,守法,1
尊法,1,时间,1
领会,1,恐怖事件,1
严防,1,集资,1
工作力度,1,治违,1
打非,1,特殊人群,1
公信,1,治省,1
精细化,1,科学化,1
调节,1,一方平安,1
一方,1,风险意识,1
重要职责,1,第十,1
文艺创作,1,·,1
书香,1,足球,1
健身运动,1,氛围,1
尊医,1,重教,1
医风,1,医德,1
风,1,师德师,1
计划生育,1,方便,1
服务水平,1,教学质量,1
学科,1,入学,1
入托,1,适龄,1
职级,1,职务,1
省级机关,1,征缴,1
妥善安置,1,就业指导,1
脱困,1,解困,1
困难职工,1,低收入,1
物价上涨,1,密切相关,1
为本,1,为政之道,1
第九,1,严肃处理,1
形式主义,1,万村,1
万企帮,1,扶贫开发,1
东西部,1,国家机关,1
双手,1,勤劳,1
四好,1,巡查,1
扶助,1,两线,1
巴山,1,乌蒙,1
藏区,1,新寨,1
彝家,1,水利,1
飞地,1,甘眉,1
成甘,1,合作经营,1
入股,1,105,1
3700,1,第八,1
出行,1,离任,1
双控,1,强度,1
消耗,1,碳,1
节约能源,1,以电代油,1
碳循环,1,大熊猫,1
多样性,1,增绿,1
身边,1,绿,1
皆,1,有山,1
河谷,1,干旱,1
长江上游,1,造林,1
廊道,1,屏障,1
水土保持,1,治沙,1
防沙,1,加重,1
蔓延,1,违法行为,1
严惩,1,无害化,1
覆盖范围,1,黑臭,1
主城区,1,成都市,1
断面,1,个国控,1
87,1,河流,1
未达标,1,超排,1
漏排,1,控秸,1
治车,1,抑尘,1
压煤,1,持久战,1
不得,1,起慢,1
生态建设,1,第七,1
维权,1,联络,1
保税,1,营运,1
聚集,1,临港,1
青白江,1,川藏,1
造成,1,债权,1
人寿,1,国宝,1
控股集团,1,门类,1
齐备,1,包,1
后台,1,金融交易,1
商务区,1,博览会,1
首届,1,金融中心,1
9700,1,粤,1
川浙,1,专题,1
州长,1,中美省,1
第四届,1,海科,1
展,1,跨国公司,1
分层,1,抓住机遇,1
内陆,1,扩大开放,1
第六,1,撤县,1
宜业,1,农牧业,1
阳光,1,稀土,1
钛,1,钒,1
陕甘,1,川陕,1
黔,1,滇,1
新城,1,空港,1
34%,1,125,1
市民化,1,古镇,1
文,1,更新改造,1
电梯,1,内部,1
路网,1,第五,1
职业技能,1,有钱赚,1
有活,1,联结,1
村社,1,房屋,1
新机制,1,经理人,1
股份合作制,1,同确,1
多权,1,宅基地,1
突破口,1,放活,1
各项改革,1,基本建设,1
农田水利,1,机械化,1
社会化,1,餐桌,1
摆,1,川猪,1
川药,1,川果,1
川茶,1,川菜,1
农场,1,大户,1
种养,1,农林牧渔,1
粮油,1,农林牧业,1
必然选择,1,毫不放松,1
第四,1,一步,1
落地生根,1,盐业,1
征管,1,地税,1
国税,1,迈入,1
草根,1,大学生,1
川商,1,周,1
筹融资,1,校地企,1
核心技术,1,356,1
医学,1,新创建,1
共性,1,数据服务,1
数据库,1,科学城,1
权属,1,院所,1
拳头产品,1,转,1
90,1,核动力,1
航天,1,商业化,1
导航,1,北斗,1
卫星,1,商业,1
两用,1,成德绵,1
参军,1,民,1
军转民,1,以来,1
银,1,凡是,1
梯队,1,提振,1
以管,1,营业,1
劳动生产率,1,千家万户,1
字号,1,争创,1
互转,1,互融,1
主导产业,1,路企,1
铁路运输,1,富余,1
消纳,1,供气,1
直购,1,投贷,1
炒作,1,投机,1
自,1,因地,1
妥善处置,1,落实政策,1
灯展,1,实绩,1
管理水平,1,博会,1
旅,1,世界旅游组织,1
扩容,1,入境游,1
娱乐,1,音乐,1
507,1,生产性,1
检测,1,先导,1
优先发展,1,桩,1
停车场,1,出川,1
台阶,1,万亿,1
迈上,1,9000,1
航空航天,1,饮料,1
烯,1,石墨,1
成长型,1,达效,1
达产,1,神龙,1
56,1,攀枝花,1
新市,1,宜宾,1
经,1,客运专线,1
西安,1,水库,1
岩,1,李家,1
代线,1,8.6,1
700,1,至关重要,1
实惠,1,广大群众,1
惠及,1,新家园,1
态度,1,这片,1
脚下,1,尊重,1
保护环境,1,强磁场,1
资金流,1,活,1
全盘,1,棋局,1
落,1,一子,1
基点,1,敢为人先,1
川人,1,发扬,1
决胜,1,量,1
促发展,1,用力,1
欠发达,1,底子薄,1
正视,1,9%,1
九次,1,八次,1
十届,1,紧紧围绕,1
高度重视,1,对此,1
程度,1,期望,1
办事效率,1,比较突出,1
不容乐观,1,增大,1
借贷,1,很快,1
难以,1,不够,1
区域间,1,从长远看,1
清醒认识,1,谢意,1
国际友人,1,港澳台,1
预备役,1,民兵,1
干警,1,政法,1
指战员,1,驻川,1
共同努力,1,辛勤工作,1
加强监督,1,这样,1
新路子,1,一条,1
灾区,1,芦山,1
荣,1,康定,1
多万元,1,7500,1
拍卖,1,车辆,1
公车,1,省直机关,1
17%,1,财政拨款,1
保密,1,防空,1
14.2%,1,14.7%,1
防汛,1,调解,1
审计工作,1,不当,1
努力提高,1,运动员,1
川籍,1,脱钩,1
主管部门,1,足协,1
3843,1,接待,1
2500,1,国家验收,1
72.4%,1,打响,1
40.6%,1,座,1
120,1,改桥,1
渡口,1,6000,1
护栏,1,路侧,1
包虫病,1,治疗,1
1.9%,1,9.3%,1
8.1%,1,104,1
比达,1,趋紧,1
107.8,1,2437,1
比例控制,1,种,1
手术,1,复明,1
白内障,1,因,1
取得成效,1,公办,1
75,1,传递,1
代际,1,阻断,1
84.2,1,5180,1
专合,1,6.8,1
逐户,1,助农,1
40.6,1,农房,1
农技员,1,驻村,1
名,1,名县,1
之战,1,之力,1
举,1,112,1
百亿,1,州,1
千亿,1,稳步发展,1
成型,1,骨架,1
多极,1,多点,1
2.3,1,首批,1
评为,1,6729,1
27,1,193,1
203,1,省域,1
协调性,1,浙粤,1
韩,1,54.5%,1
额,1,签合同,1
9614,1,85.5,1
利用外资,1,316,1
友城,1,IC,1
清华紫光,1,行等,1
科博会,1,西博会,1
院校,1,央企,1
高层论坛,1,第五届,1
行长,1,央行,1
财长,1,自由贸易,1
精心,1,出入境,1
460,1,6519,1
通车,1,503,1
成安渝,1,高铁,1
成贵,1,进出,1
后证,1,先照,1
60%,1,行政许可,1
控股,1,二重,1
三项,1,多项,1
总结,1,德阳,1
驰名商标,1,地理,1
提名奖,1,企获,1
家川,1,820,1
0.8,1,3.7,1
缩短,1,同比,1
8.7,1,2303,1
平均水平,1,470,1
调研,1,轮稳,1
牵头,1,11%,1
24%,1,总收入,1
第二产业,1,1.6,1
6900,1,建材,1
13.1%,1,10.9%,1
7.9%,1,1.2%,1
3483.5,1,生产能力,1
343.3,1,网销,1
29.8%,1,零售额,1
限额,1,销售额,1
造,1,参加,1
万家,1,近,1
1.3,1,建成投产,1
骏马,1,英特尔,1
中电科,1,汶马,1
雅康,1,631,1
较为,1,回落,1
8.3%,1,11.7%,1
12.1%,1,3.8%,1
7.7%,1,3.2,1
四次会议,1,十二届,1
努力奋斗,1,齐心协力,1
出色,1,实际行动,1
狠抓落实,1,只争朝夕,1
忠诚,1,彼岸,1
光辉,1,直到,1
下去,1,多少,1
这条,1,无论,1
一代人,1,不想,1
廉政文化,1,吃拿卡要,1
变异,1,隐形,1
长效,1,关进,1
前面,1,挺,1
规矩,1,纪律,1
办公室,1,深和细,1
严和实,1,常和长,1
实效性,1,全会精神,1
七次,1,中央纪委,1
担当起来,1,义无反顾,1
慢,1,制度化,1
可追溯,1,清晰明确,1
褒奖,1,迅速,1
敢作敢为,1,作风正派,1
那些,1,旗帜鲜明,1
失误,1,宽容,1
开来,1,区分,1
处,1,举报,1
投诉,1,抓实,1
抓小,1,抓细,1
根见果,1,见,1
见人见,1,工程项目,1
并联,1,年检,1
最好,1,最高,1
最活,1,最顺,1
最优,1,流程,1
最少,1,努力做到,1
每一项,1,轨道,1
法制建设,1,法律援助,1
普法,1,七五,1
记录,1,六个,1
城乡建设,1,计生,1
许可权,1,相对,1
内审,1,专门,1
首先,1,律师,1
公职,1,法律顾问,1
追究制,1,终身,1
思维,1,公仆,1
永远,1,牢记,1
公务人员,1,全体,1
群众路线,1,评议,1
问政,1,借助,1
信箱,1,首长,1
沟通,1,征集,1
专门机构,1,于民,1
问计,1,有着落,1
来访,1,来信,1
群众团体,1,群众监督,1
决议,1,认真执行,1
监督权,1,参与权,1
知情权,1,执行,1
天职,1,全心全意,1
衣食父母,1,惯例,1
通行,1,对表,1
履行职责,1,忠实,1
宗旨,1,干扰,1
绝不,1,三条,1
治本,1,心肠,1
治患,1,手腕,1
以铁,1,安全观,1
更为重要,1,显得,1
关键时期,1,今天,1
逃废,1,恶意,1
调处,1,信访,1
网格化,1,安装,1
防护,1,化工企业,1
现场,1,一线,1
三违,1,反,1
强制,1,取缔,1
无望,1,限期,1
事故隐患,1,停产,1
停工,1,大排查,1
场所,1,密集,1
建筑施工,1,管道,1
油气,1,化学品,1
危险,1,道路交通,1
物防,1,技防,1
安全隐患,1,严查,1
一票否决,1,风景区,1
工业园区,1,街道,1
乡镇,1,执法人员,1
治安,1,救援,1
责任人,1,监管部门,1
逐一,1,名录,1
依据,1,主管,1
追责,1,失职,1
主责,1,同责,1
党政,1,万场,1
戏,1,免费送,1
照料,1,日间,1
诊断,1,筛查,1
怀孕,1,两癌,1
农村妇女,1,36,1
抢救性,1,残疾儿童,1
干预,1,残疾,1
3.5,1,六件,1
奋斗目标,1,向往,1
美好生活,1,援疆,1
科普,1,筹备工作,1
青运会,1,医疗机构,1
公立,1,同等待遇,1
配送,1,两票,1
流通领域,1,家庭医生,1
首诊,1,医院,1
医,1,政府办,1
考试制度,1,教育领域,1
学院,1,艺术,1
筹,1,中医药大学,1
高等教育,1,1331,1
拨款,1,中职,1
产教,1,携带,1
随,1,教育经费,1
再有,1,确认,1
旱,1,厕所,1
住宅小区,1,民办,1
普惠性,1,第三期,1
服务质量,1,合并,1
晋中市,1,并轨,1
入轨,1,鼓起来,1
钱袋子,1,转移性,1
红利,1,财产性,1
赋权,1,增长势头,1
最低工资,1,适时,1
劳动者,1,4050,1
清零,1,见习,1
一扶,1,三支,1
劳动密集型,1,十二,1
家园,1,地净,1
天蓝,1,山清水秀,1
彻底,1,最终,1
坚持不懈,1,失之难存,1
不觉,1,替代品,1
银山,1,金山,1
排污,1,一证式,1
固定,1,国土,1
固废,1,矿产,1
复垦,1,废弃地,1
工矿,1,门槛,1
产出率,1,能效,1
525,1,水土流失,1
桑干河,1,试运行,1
小浪底,1,投运,1
辛安泉,1,隧洞,1
配套工程,1,万家寨,1
大小,1,开采,1
空中,1,林业,1
依法严惩,1,省城,1
提标,1,响应,1
散烧,1,原煤,1
彻底解决,1,太原市,1
发电机组,1,集中供热,1
降尘,1,管车,1
控煤,1,十一,1
路气,1,涵养,1
分布,1,市域,1
合理安排,1,108,1
古村落,1,4.6,1
6.6,1,沉陷,1
采煤,1,改厕,1
改气,1,试点县,1
41,1,热,1
水气,1,交通网络,1
工业区,1,一区,1
一市,1,行政区域,1
行政区划,1,城镇群,1
晋东南,1,美誉度,1
知名度,1,省会,1
联创,1,五城,1
做名,1,做特,1
辉映,1,交融,1
古今,1,河湖,1
湖,1,片区,1
晋阳湖,1,着手,1
前期工作,1,五规,1
十,1,发扬光大,1
薪火相传,1,三晋,1
文化交流,1,力作,1
气派,1,富有,1
主题,1,扎根,1
深入生活,1,大力开展,1
晋军,1,文学艺术,1
交易会,1,博览,1
第三届,1,资产重组,1
首轮,1,广播电视,1
业绩考核,1,双效,1
广电,1,出版,1
游戏,1,动漫,1
传统媒体,1,各层次,1
微等,1,普查,1
村风,1,乡风,1
移风易俗,1,模范,1
道德,1,好人,1
选树,1,公民道德,1
右玉,1,太行,1
书香社会,1,放映,1
电影,1,三下乡,1
贴近,1,服务中心,1
综合性,1,书屋,1
农家,1,阅览室,1
图书馆,1,五级,1
育人,1,资政,1
编鉴,1,修志,1
鲜活,1,筹备,1
密集区,1,文物保护,1
守望,1,实验区,1
宝藏,1,实力,1
软,1,漫山遍野,1
成林,1,百木,1
参天,1,巨木,1
通讯,1,受到,1
同等,1,市场竞争,1
一样,1,歧视性,1
废除,1,行为规范,1
享有,1,助保贷,1
众筹,1,扶,1
众包,1,创业投资,1
第一笔,1,初创期,1
倾斜,1,向小微,1
财政金融,1,多元,1
成功率,1,洽谈,1
创业项目,1,创客,1
大赛,1,拎包,1
楼宇,1,旧,1
股,1,规改股,1
小升规,1,转企,1
梯次,1,高成长性,1
关联,1,共铸,1
携手,1,有志之士,1
八方,1,欢迎,1
兴业,1,骄子,1
呼唤,1,茁壮成长,1
期盼,1,回流,1
营销中心,1,权重,1
到位率,1,开工率,1
桥梁,1,商会,1
办事处,1,驻外,1
跟踪服务,1,熟地,1
以商,1,先进设备,1
检疫,1,海关监管,1
试点经验,1,直联点,1
码头,1,重件,1
天津,1,武宿,1
无水,1,一站式,1
临空,1,出省口,1
断头,1,省际,1
大寨,1,北,1
原大客,1,焦客,1
太,1,客专,1
大张,1,机,1
交通运输,1,外联,1
内通,1,俄,1
中蒙,1,区域合作,1
晋冀,1,蒙,1
黄河,1,陕豫,1
沿黄,1,中原,1
千企百展,1,滚动,1
珠三角,1,长三角,1
招才,1,环渤海,1
智力,1,供应链,1
聚合,1,后顾之忧,1
就读,1,子女,1
配偶,1,高技能,1
高级,1,本土,1
限制性,1,非专业,1
职称,1,附着,1
逆向,1,横向,1
顺向,1,事企,1
合理流动,1,全新,1
用人,1,进人,1
进人卡,1,控编,1
协议,1,年薪制,1
调剂,1,转制,1
科技体制,1,技术装备,1
套,1,首台,1
科学仪器,1,基于,1
领军,1,倍增,1
百项,1,资源共享,1
整体性,1,尽快,1
争先,1,补课,1
极其,1,一招,1
成败,1,小型,1
水务,1,抵押,1
颁证,1,所有权,1
互用,1,互认,1
交换,1,公示,1
企业信用,1,绿色通道,1
从事,1,其,1
注销,1,简易,1
电子化,1,积极探索,1
前置,1,工商登记,1
装机,1,自备,1
局域,1,区为,1
配电,1,增量,1
价,1,输配电,1
入晋,1,保险机构,1
再融资,1,创债,1
存贷,1,后验,1
先建,1,试行,1
验收,1,联审,1
多图,1,多审,1
多评,1,特殊,1
除,1,前置条件,1
环评,1,重特大,1
预审,1,选址,1
向管,1,妥善解决,1
